id,developer,number_of_games,avg_user_rating,total_number_of_raters,avg_price,primary_genre,price_point_app
0,? ZHANG,1,4.5,52,0,Games,Free
1,[adult swim],4,4.5,23545,1.5,Games,Not Free
2,\xc1lvaro Girona,1,1,6,0,Games,Free
3,0xGames,1,3.5,10,0,Games,Free
4,1 Simple Game,1,2.5,28,0,Games,Free
5,108km Tech Ltd,1,3,35,0,Games,Free
6,10K BULBS LLC,1,5,16,0,Games,Free
7,11 bit studios s.a.,3,4.17,102,3.99,Games,Not Free
8,111 (LLC),1,3.5,80,0,Games,Free
9,111%,11,4.32,3558,0,Games,Free
10,12 POINT APPS LLC,6,4.08,78,0,Games,Free
11,1791 Entertainment LLC,1,5,25,0,Games,Free
12,1800N0TH1NG LLC,1,3.5,28,0,Games,Free
13,1C Mobile Ltd,1,5,11,0,Games,Free
14,22Cans,1,4.5,104733,0,Games,Free
15,2Gear,1,3.5,6,0,Games,Free
16,2K,3,3.83,13600,4.32,Games,Not Free
17,2ka,1,4,65,0,Games,Free
18,3 Sprockets,1,4,424,1.99,Games,Not Free
19,305 Games,4,4.5,115,0,Games,Free
20,31x Limited,2,4.25,736,3.5,Games,Not Free
21,37GAMES,2,4,225,0,Games,Free
22,38 Softworks Inc.,2,3.25,1069,1.5,Games,Not Free
23,3akarat.net,2,3.75,81,0,Games,Free
24,3D Avenue,2,4.75,28,0.5,Games,Not Free
25,3g60,2,3.75,80,1,Games,Not Free
26,3way Interactive,1,3,9,0,Games,Free
27,4s-games,1,4.5,170,0,Games,Free
28,4Sho Games LLC,1,4.5,3762,0,Games,Free
29,50 Caliber Mobile Inc.,1,4,28,0,Games,Free
30,"505 Games (US), Inc.",3,4,7395,0,Games,Free
31,51st Parallel Ltd,1,4,26,0,Games,Free
32,57Digital Ltd,3,4.33,6277,3.66,Games,Not Free
33,5mina,3,3.83,424,0,Games,Free
34,"5minlab Co., Ltd.",1,2.5,28,3.99,Games,Not Free
35,5th Planet Games Development ApS,2,4.5,3929,0,Games,Free
36,6S MOBILE,1,2,5,0,Games,Free
37,7 Pirates Limited,3,4.17,11904,0,Games,Free
